,acousticness,analysis_channels,analysis_sample_rate,artist,danceability,duration,duration_ms,end_of_fade_in,energy,instrumentalness,key,key_confidence,liveness,loudness,mode,mode_confidence,song,speechiness,start_of_fade_out,tempo,tempo_confidence,time_signature,time_signature_confidence,trackid,valence
0,0.609,1,22050,ABBA,0.635,240.14667,240147,0.22639,0.392,7.8e-05,10,0.614,0.0745,-9.46,1,0.6,"Andante, Andante",0.0242,228.37986,102.02,0.006,3,0.909,4pKTaU9Vm7nC5tC0mxjxfI,0.455
1,0.108,1,22050,ABBA,0.511,204.03161,204032,0.0,0.775,0.000461,8,0.447,0.152,-4.565,1,0.523,As Good As New,0.0594,200.54494,94.998,0.362,4,1.0,4IiLUcJ9MOMXMGNv9zXxY1,0.63
2,0.259,1,22050,ABBA,0.715,283.32077,283321,0.0,0.529,7.48e-06,11,0.347,0.128,-9.019,0,0.429,Bang,0.0507,275.37125,148.037,0.438,4,1.0,1pF74yw15wXk12A1NPVWHD,0.467
3,0.0262,1,22050,ABBA,0.502,184.93333,184933,0.46449,0.756,0.00107,5,0.528,0.271,-3.45,1,0.583,Bang-A-Boomerang,0.0306,173.94649,131.885,0.874,4,0.925,0bpg3LHQI12aDYd9rwYCC9,0.831
4,0.000308,1,22050,ABBA,0.526,217.02667,217027,0.0,0.909,0.0152,0,0.18,0.11,-6.814,1,0.341,Burning My Bridges,0.0438,213.61197,132.895,0.929,4,0.766,2AdIDytAkGnG4a2D2OOfFX,0.638
5,0.701,1,22050,ABBA,0.526,327.04,327040,0.46272,0.555,6.69e-06,9,0.941,0.299,-8.08,1,0.788,Chiquitita,0.0338,305.17986,84.088,0.172,4,0.998,4g5LUzHFRr4Zlok8KzERmI,0.38
6,0.371,1,22050,ABBA,0.48,313.22667,313227,0.23224,0.535,0.0,0,0.537,0.0929,-10.232,1,0.598,Crazy World,0.0324,302.00454,75.766,0.019,4,0.979,3ovjw5HZZv43SxTwApooCM,0.293
7,0.0815,1,22050,ABBA,0.385,242.67243,242672,0.0,0.62,0.0,1,0.168,0.352,-8.316,0,0.464,Crying Over You,0.147,228.45533,75.564,0.207,4,0.636,7i1pavASRUZk62ejaUIESa,0.415
8,0.00842,1,22050,ABBA,0.796,173.98667,173987,0.0,0.61,0.00286,1,0.502,0.351,-5.857,1,0.495,Dance,0.0516,166.65542,103.99,0.767,4,1.0,1zi7xx7UVEFkmKfv06H8x0,0.391
9,0.382,1,22050,ABBA,0.539,230.69333,230693,0.39914,0.884,0.00166,9,0.65,0.76,-6.53,1,0.64,Dancing Queen,0.0403,220.25288,100.812,0.652,4,1.0,4NtUY5IGzHCaqfZemmAu56,0.752
10,7.43e-05,1,22050,ABBA,0.373,255.02036,255020,0.1917,0.966,0.000878,2,0.358,0.203,-4.79,0,0.468,Disillusion,0.197,249.87574,160.03,0.222,4,0.966,1cD7C2muyWQopCkEJ8YM6O,0.12
11,0.0259,1,22050,ABBA,0.74,181.30667,181307,0.14027,0.899,5.92e-06,9,0.609,0.0373,-4.461,1,0.559,Does Your Mother Know,0.0321,178.44535,133.922,0.946,4,0.98,64DxdXTNY58CVu2j5QjCIk,0.965
12,0.844,1,22050,ABBA,0.245,135.72063,135721,0.0,0.181,0.872,3,0.423,0.105,-20.867,0,0.383,Dream World,0.0484,125.16136,65.807,0.009,4,1.0,2MsjuJQ5iRuWDCK1vbUF0d,0.216
13,0.214,1,22050,ABBA,0.661,174.6,174600,0.39937,0.817,4.16e-05,4,0.743,0.19,-6.541,1,0.609,Dum Dum Diddle,0.0317,160.50794,127.333,0.886,4,1.0,7tyXKNbNJfQcYG8uHfPZah,0.857
14,0.626,1,22050,ABBA,0.528,282.69333,282693,0.0,0.737,0.00911,9,0.336,0.325,-12.703,0,0.413,Eagle,0.121,262.34485,99.361,0.726,4,0.91,3e0FzZjTXOUtiJGSClOBrI,0.632
15,0.0246,1,22050,ABBA,0.522,232.00218,232002,0.06957,0.69,0.0,9,0.34,0.242,-7.329,1,0.299,Every Good Man,0.341,229.4654,120.344,0.079,5,0.814,2JVR0m4vauB8KWmr9D51oR,0.202
16,0.462,1,22050,ABBA,0.406,239.37333,239373,0.22635,0.57,0.0,9,0.661,0.274,-7.764,1,0.744,Fernando,0.0279,231.47973,111.5,0.272,4,0.243,1V9zWcD0PpWlFa42vCErzm,0.58
17,0.992,1,22050,ABBA,0.177,160.26667,160267,0.37188,0.084,0.931,10,0.745,0.128,-32.402,1,0.818,Fernando (In Spanish),0.043,147.13905,140.228,0.457,3,0.526,3PE38oqKnoDreX6GzfpR75,0.451
18,0.722,1,22050,ABBA,0.401,547.88,547880,0.30748,0.175,9.58e-06,7,0.639,0.325,-16.699,1,0.623,From A Twinkling Star To A Passing Angel,0.0349,535.13288,120.02,0.212,4,0.997,5kRtxsw0JGktZ4fkeXCLlh,0.199
19,0.447,1,22050,ABBA,0.634,270.77333,270773,0.33628,0.63,0.039,1,0.525,0.17,-8.277,0,0.657,Gimme Gimme Gimme,0.031,259.3785,118.628,0.803,4,0.933,6H3kDe7CGoWYBabAeVWGiD,0.489
20,0.907,1,22050,ABBA,0.124,653.44,653440,2.57161,0.0966,0.578,2,0.63,0.427,-22.668,1,0.583,Hamlet III,0.0424,621.56336,96.654,0.021,5,0.072,3jj9ZqQmVr9MFoo60G74Rh,0.039
21,0.301,1,22050,ABBA,0.539,265.76,265760,0.73719,0.772,0.00134,0,1.0,0.38,-7.327,1,0.904,Happy Hawaii,0.0377,253.49805,118.089,0.679,4,0.979,1uvdgJ6KVIfzxAuEfDPyhv,0.351
22,0.146,1,22050,ABBA,0.491,239.86667,239867,0.42948,0.647,5.19e-06,7,0.507,0.0797,-5.882,1,0.665,Happy New Year,0.0273,228.67592,142.179,0.431,4,0.959,5iYKnmjIuI9OZhiAI9f5Mc,0.389
23,0.101,1,22050,ABBA,0.416,198.92,198920,0.2741,0.738,4.75e-05,4,0.868,0.135,-10.589,1,0.735,He Is Your Brother,0.0325,189.64898,178.556,0.277,4,1.0,0oZObEr6GJ8bnf6fs6w12G,0.963
24,0.338,1,22050,ABBA,0.623,257.3156,257316,0.13351,0.739,1.88e-05,7,0.271,0.109,-8.116,1,0.507,Head Over Heels,0.0244,250.43882,95.007,0.567,4,1.0,5lwQGZYF4BXOzFtXc5zk8q,0.642
25,0.371,1,22050,ABBA,0.696,242.96,242960,0.11025,0.893,0.000614,8,0.532,0.085,-6.812,1,0.479,Here We'll Stay,0.0276,235.00916,100.27,0.542,4,1.0,7uKtToonwNn3ZzjjrvSCSc,0.686
26,0.00261,1,22050,ABBA,0.649,198.36,198360,0.45959,0.663,0.0104,2,0.111,0.0553,-6.617,1,0.37,Hey Hey Helen,0.0398,186.96127,117.863,0.766,4,1.0,7dTdyczh09okXyhaq982OT,0.773
27,0.0783,1,22050,ABBA,0.414,223.44,223440,0.48186,0.808,0.0148,4,0.329,0.297,-5.546,1,0.279,Hole In Your Soul,0.09,212.55546,154.621,0.424,4,1.0,5P2FFIGTJW9Qg57oA9kzec,0.648
28,0.772,1,22050,ABBA,0.606,199.20975,199210,0.0,0.24,0.0,3,0.77,0.0819,-7.102,1,0.694,"Honey, Honey",0.0369,193.56154,96.792,0.145,4,0.635,5QTdOvIF2ehBMZpSIIGzIo,0.526
29,0.736,1,22050,ABBA,0.429,183.56,183560,0.16263,0.235,0.000102,4,0.501,0.211,-14.309,1,0.457,I Am Just A Girl,0.0317,176.03048,98.943,0.151,4,0.986,3j6hpMBtlXmV1SBXyCNDOe,0.419
30,0.0168,1,22050,ABBA,0.661,216.66667,216667,0.06385,0.874,0.0,5,0.342,0.41,-5.904,0,0.431,I Am The City,0.0456,213.46104,127.915,0.93,4,0.989,7N2DblLu8DuZ0seGYSg73v,0.682
31,0.843,1,22050,ABBA,0.433,87.56068,87561,0.0,0.778,0.0,4,0.432,0.139,-7.681,1,0.415,"I Do, I Do, I Do, I Do, I Do",0.041,80.06821,114.208,0.688,4,1.0,5de9Ho64dovuQI8Uhn5gPD,0.764
32,0.738,1,22050,ABBA,0.525,264.44,264440,0.13982,0.319,0.0,0,1.0,0.251,-12.566,1,0.825,I Have A Dream,0.0248,251.5824,104.035,0.02,4,0.928,19GsJOvgLVujgxcnDVd8FB,0.508
33,0.992,1,22050,ABBA,0.46,213.25333,213253,0.63905,0.0474,0.895,2,0.568,0.111,-23.571,0,0.613,I Let The Music Speak,0.0432,205.42694,134.968,0.022,4,0.568,3xWiF0XcSQMzcR80BFRA15,0.115
34,0.282,1,22050,ABBA,0.76,154.82667,154827,0.0,0.271,5.62e-06,5,0.615,0.103,-13.088,1,0.619,I Saw It In The Mirror,0.0428,146.14059,108.662,0.485,4,0.992,14WEAkSqDleRE4FsDkMI4G,0.472
35,0.899,1,22050,ABBA,0.383,269.06667,269067,0.11542,0.186,3.31e-06,0,0.697,0.108,-10.759,1,0.751,I Wonder (Departure),0.0305,253.44,108.596,0.14,4,0.917,2wcs7pwj5bzhVodPO21O7S,0.151
