song,artist,trackid,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,duration,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence
Ahe's My Kind Of Girl,ABBA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andante, Andante",ABBA,4pKTaU9Vm7nC5tC0mxjxfI,0.635,0.392,10,1,0.0242,0.609,7.8e-05,0.0745,0.455,102.02,240147,3,240.14667,22050,1,0.22639,228.37986,-9.46,102.02,0.006,3,0.909,10,0.614,1,0.6
As Good As New,ABBA,4IiLUcJ9MOMXMGNv9zXxY1,0.511,0.775,8,1,0.0594,0.108,0.000461,0.152,0.63,94.998,204032,4,204.03161,22050,1,0.0,200.54494,-4.565,94.998,0.362,4,1.0,8,0.447,1,0.523
Bang,ABBA,1pF74yw15wXk12A1NPVWHD,0.715,0.529,11,0,0.0507,0.259,7.48e-06,0.128,0.467,148.037,283321,4,283.32077,22050,1,0.0,275.37125,-9.019,148.037,0.438,4,1.0,11,0.347,0,0.429
Bang-A-Boomerang,ABBA,0bpg3LHQI12aDYd9rwYCC9,0.502,0.756,5,1,0.0306,0.0262,0.00107,0.271,0.831,131.885,184933,4,184.93333,22050,1,0.46449,173.94649,-3.45,131.885,0.874,4,0.925,5,0.528,1,0.583
Burning My Bridges,ABBA,2AdIDytAkGnG4a2D2OOfFX,0.526,0.909,0,1,0.0438,0.000308,0.0152,0.11,0.638,132.895,217027,4,217.02667,22050,1,0.0,213.61197,-6.814,132.895,0.929,4,0.766,0,0.18,1,0.341
Cassandra,ABBA,27QYra7igV9OetPeDA4EqA,0.602,0.882,5,0,0.0355,0.000631,0.00877,0.613,0.296,131.873,298000,4,298.0,22050,1,0.0,298.0,-7.51,131.873,0.845,4,0.984,5,0.31,0,0.484
Chiquitita,ABBA,4g5LUzHFRr4Zlok8KzERmI,0.526,0.555,9,1,0.0338,0.701,6.69e-06,0.299,0.38,84.088,327040,4,327.04,22050,1,0.46272,305.17986,-8.08,84.088,0.172,4,0.998,9,0.941,1,0.788
Crazy World,ABBA,3ovjw5HZZv43SxTwApooCM,0.48,0.535,0,1,0.0324,0.371,0.0,0.0929,0.293,75.766,313227,4,313.22667,22050,1,0.23224,302.00454,-10.232,75.766,0.019,4,0.979,0,0.537,1,0.598
Crying Over You,ABBA,7i1pavASRUZk62ejaUIESa,0.385,0.62,1,0,0.147,0.0815,0.0,0.352,0.415,75.564,242672,4,242.67243,22050,1,0.0,228.45533,-8.316,75.564,0.207,4,0.636,1,0.168,0,0.464
