song,artist,trackid,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,duration,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence
Please Baby Don't,John Legend,5WUgOOaTk00PnksDekcgcg,0.72,0.705,5,1,0.0408,0.506,1.12e-06,0.147,0.775,106.332,162293,4,162.29333,22050,1,0.34807,155.84653,-6.82,106.332,0.844,4,1.0,5,0.046,1,0.383
Milk,Foo Fighters,0hfByzDRgR10HDLqm89lA9,0.461,0.869,1,0,0.0731,0.000616,8.19e-06,0.25,0.649,145.919,171053,4,171.05333,22050,1,0.24966,164.14766,-4.672,145.919,0.378,4,1.0,1,0.0,0,0.276
Early Autumn,Ella Fitzgerald,0Eb4LOT2fnm0PHuLyGbHoN,0.768,0.165,9,1,0.0958,0.329,0.845,0.244,0.271,77.992,144615,4,144.61537,22050,1,0.0,130.93732,-11.712,77.992,0.357,4,0.866,9,0.221,1,0.347
I Just Don't Feel Like Christmas,Rihanna,7y8I1aTNxww4JgN1duLWyf,0.663,0.476,0,1,0.0366,0.361,0.0,0.21,0.141,126.224,231000,4,231.0,22050,1,4.36535,219.13252,-10.653,126.224,0.379,4,0.996,0,0.707,1,0.696
Crab Man,Ella Fitzgerald,0K8wwzUxwACiuYZhfCZ8Xb,0.665,0.754,11,1,0.051,0.00453,0.000116,0.559,0.228,134.99,201090,4,201.09039,22050,1,0.0,198.3971,-5.832,134.99,0.47,4,0.806,11,0.0,1,0.057
Ur So Stupid,Katy Perry,1DU437U4QZ0sZmfWnAtKix,0.463,0.901,5,1,0.0584,0.00149,0.000294,0.305,0.683,90.032,174833,4,174.83333,22050,1,0.32508,170.46349,-6.059,90.032,0.233,4,1.0,5,0.0,1,0.121
Arlandria,Foo Fighters,5TOYgNohZAFEPOtnchPhZS,0.632,0.734,9,1,0.0375,0.000128,1.05e-05,0.337,0.645,116.336,267560,4,267.56,22050,1,0.0,264.95129,-5.179,116.336,0.924,4,0.951,9,0.0,1,0.11
Backstabber,Eminem,4iCdBQcpOEEcn9SsZKMJhI,0.596,0.94,7,1,0.193,0.0588,1.73e-06,0.337,0.84,159.929,186840,4,186.84,22050,1,0.18576,186.84,-1.789,159.929,0.49,4,1.0,7,0.137,1,0.429
After I Say I'm Sorry?,Ella Fitzgerald,5kocofD2Pui5vylgzvjSdk,0.228,0.137,5,1,0.0358,0.847,0.903,0.102,0.119,63.816,196827,4,196.82667,22050,1,3.18694,187.95392,-20.997,63.816,0.002,4,0.858,5,0.589,1,0.64
Reaper,Sia,5QTxFnGygVM4jFQiBovmRo,0.333,0.927,9,0,0.0733,0.0029,0.000211,0.297,0.382,141.47,308120,4,308.12,22050,1,0.1566,298.37642,-8.55,141.47,0.85,4,0.915,9,0.475,0,0.46
Miracle,Whitney Houston,3lQSzRo5BkodChgpBOomvv,0.577,0.791,5,1,0.0316,0.0116,0.0,0.179,0.431,124.013,188252,4,188.25179,22050,1,0.24367,183.7395,-3.054,124.013,0.722,4,0.912,5,0.491,1,0.469
Electricity,Rihanna,5N4erncE7kuUccm7zEmwzk,0.588,0.67,0,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173,4,238.17333,22050,1,0.238,230.01687,-6.439,118.159,0.706,4,1.0,0,0.422,1,0.479
Subterranean Homesick Alien,Radiohead,19yGmm9FjEZdZc5j98WDe4,0.316,0.592,0,1,0.0296,0.0498,0.00139,0.103,0.32,150.537,267693,3,267.69333,22050,1,0.38912,256.42376,-8.916,150.537,0.615,3,0.766,0,0.682,1,0.481
Little Man,Sia,2BBkIgdXLv5vyp1DR0wpQl,0.519,0.512,5,1,0.0282,0.0276,8.78e-05,0.0976,0.441,138.596,246973,4,246.97333,22050,1,0.40023,234.90467,-7.986,138.596,0.378,4,0.845,5,0.6,1,0.548
My Life Has Been Saved,Queen,7f85HUTCTBRbXVQrhbwGeG,0.575,0.616,7,1,0.0238,0.0497,4.34e-06,0.091,0.29,102.021,195400,4,195.4,22050,1,0.08177,188.63891,-7.376,102.021,0.127,4,1.0,7,0.302,1,0.531
The Show Must Go On,Queen,3hU637WcAGM5ubSqeaTme5,0.428,0.701,11,0,0.0352,0.425,1.61e-06,0.102,0.201,83.97,277827,4,277.82667,22050,1,0.18512,247.94848,-6.67,83.97,0.14,4,0.554,11,0.813,0,0.768
Parallel Universe,Red Hot Chili Peppers,1Se0r96r0gnqg67kJPmESc,0.343,0.983,0,0,0.212,0.00107,0.296,0.0708,0.186,124.536,269360,4,269.36,22050,1,0.0,264.51011,-2.359,124.536,0.637,4,0.996,0,0.689,0,0.68
Breaking Hearts,Elton John,1z3biBuZuyoywGDeAXIJvp,0.468,0.491,1,1,0.207,0.172,0.0,0.14,0.0924,88.745,204000,5,204.0,22050,1,0.0,195.66875,-10.045,88.745,0.132,5,1.0,1,0.753,1,0.639
A Cup Of Cofee,Katy Perry,0Xr7HveNvxGNwRvo1X8njT,0.421,0.162,2,1,0.0336,0.449,0.822,0.132,0.0379,91.558,329240,4,329.24,22050,1,0.0,329.23999,-19.525,91.558,0.119,4,0.882,2,0.46,1,0.534
C-Jam Blues,Ella Fitzgerald,0mlDTc832qP4Byo2fsZyl0,0.471,0.309,5,1,0.038,0.803,0.0156,0.115,0.848,116.213,203400,4,203.4,22050,1,0.14512,192.44118,-18.649,116.213,0.66,4,1.0,5,0.572,1,0.515
Heartbreak Hotel,Whitney Houston,6xNwKNYZcvgV3XTIwsgNio,0.696,0.21,4,1,0.067,0.84,1.62e-06,0.107,0.717,93.543,127560,4,127.56,22050,1,0.19456,123.68109,-11.922,93.543,0.335,4,1.0,4,0.634,1,0.479
Dan Dare,Elton John,57XwKoGXg3FWaYLXeWDcjg,0.588,0.35,2,1,0.0339,0.807,0.0,0.486,0.434,110.396,198361,4,198.36054,22050,1,0.30766,193.23646,-5.764,110.396,0.486,4,0.922,2,0.59,1,0.674
Motherless Child,John Legend,0y3z37R490UEdkyCdFmFDm,0.702,0.495,0,0,0.0493,0.391,0.8,0.112,0.31,78.507,311892,4,311.89152,22050,1,0.0,298.53315,-11.645,78.507,0.258,4,0.933,0,0.712,0,0.525
Don't Stop,Elton John,7hQJA50XrCWABAu5v6QZ4i,0.559,0.855,5,1,0.186,0.0488,0.000681,0.68,0.605,156.311,209413,4,209.41333,22050,1,0.18014,202.59991,-5.077,156.311,0.395,4,0.765,5,0.518,1,0.406
Don't Go Breaking My Heart,Elton John,3Oa9AekIq67UBax1H9bXp6,0.722,0.932,5,1,0.0371,0.158,0.0,0.0914,0.802,131.473,266147,4,266.14667,22050,1,0.0,249.29524,-4.761,131.473,0.962,4,1.0,5,0.705,1,0.679
Love Of My Life,Queen,790YJcgHlN3SaosQCHlWzn,0.358,0.19,5,1,0.0288,0.927,5.83e-06,0.121,0.269,77.756,217400,4,217.4,22050,1,2.28136,207.44127,-11.355,77.756,0.074,4,0.013,5,0.626,1,0.72
If We Ever Meet Again,Katy Perry,360UM2DaiHZPRu0EsrOvMp,0.646,0.635,1,1,0.0343,0.00657,0.0,0.0579,0.348,126.062,292707,4,292.70667,22050,1,2.08399,292.70667,-7.322,126.062,0.932,4,0.997,1,0.113,1,0.35
She's On Fire,Train,1LWEjUzrngRXdUBaf7GWYI,0.617,0.615,4,1,0.0567,0.0139,0.0,0.0897,0.564,125.898,218631,4,218.63143,22050,1,0.26884,210.0361,-6.518,125.898,0.881,4,0.963,4,0.631,1,0.535
Midnight,Red Hot Chili Peppers,1eyzqe2QqGZUmfcPZtrIyt,0.526,0.712,11,0,0.0356,0.0161,0.0,0.179,0.32,105.009,241440,4,241.44,22050,1,0.48762,228.62367,-6.525,105.009,0.821,4,1.0,11,0.572,0,0.609
A Certain Someone,Red Hot Chili Peppers,4eRDMqA0hhIlLQtOa5elXK,0.695,0.631,9,0,0.0537,0.306,0.0425,0.144,0.91,122.264,264867,4,264.86667,22050,1,0.2912,255.19891,-9.194,122.264,0.808,4,1.0,9,0.756,0,0.619
"Let It Snow, Let It Snow, Let It Snow",Michael Buble,7inXu0Eaeg02VsM8kHNvzM,0.603,0.321,2,1,0.0599,0.881,0.0,0.34,0.844,143.104,155600,4,155.6,22050,1,0.36571,152.25324,-11.489,143.104,0.551,4,1.0,2,0.711,1,0.553
You'll Never Stand Alone,Whitney Houston,3KFbjIFQxMbOKdZ4S3lv4S,0.703,0.488,9,1,0.0254,0.105,0.0,0.272,0.194,103.907,260293,4,260.29333,22050,1,0.23805,250.22404,-6.943,103.907,0.31,4,1.0,9,0.394,1,0.403
Fight Like A Brave,Red Hot Chili Peppers,6NeRpRTcFftvt3j1vF4Pcw,0.714,0.937,5,1,0.107,0.00628,5.88e-05,0.346,0.251,103.646,233760,4,233.76,22050,1,3.39592,229.19837,-3.923,103.646,0.58,4,1.0,5,0.377,1,0.347
Bangers And Mash,Radiohead,2mAWzzAi9pdKwteyg0lNqj,0.637,0.98,9,0,0.115,0.0307,0.000657,0.601,0.65,135.991,199502,4,199.5024,22050,1,0.0,199.50241,-4.981,135.991,0.789,4,1.0,9,0.686,0,0.495
Go It Alone,Elton John,7zeCIWu37bKFJuem8MTyM1,0.864,0.398,1,1,0.053,0.601,0.62,0.109,0.533,74.99,248840,4,248.84,22050,1,0.0,228.60045,-10.414,74.99,0.0,4,0.902,1,0.889,1,0.673
